;Identifiant arc;Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Identifiant noeud amont;Libelle noeud amont;Identifiant noeud aval;Libelle noeud aval;Etat arc;Date debut dispo data;Date fin dispo data;geo_point_2d;geo_shape;Unnamed: 0;NOM_USUEL;precipitations heure;duree prec (en min);force moyenne vent (m/s);datetime
23;4264;AV_Champs_Elysees;2024-09-02 04:00:00;266.0;3.22556;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5884;PARIS-MONTSOURIS;0.0;0.0;1.8;2024-09-02 04:00:00
24;4264;AV_Champs_Elysees;2024-09-02 05:00:00;220.0;2.61611;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5885;PARIS-MONTSOURIS;0.0;0.0;0.9;2024-09-02 05:00:00
25;4264;AV_Champs_Elysees;2024-09-02 06:00:00;150.0;5.605;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5886;PARIS-MONTSOURIS;0.0;0.0;1.3;2024-09-02 06:00:00
26;4264;AV_Champs_Elysees;2024-09-02 07:00:00;169.0;0.15389;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5887;PARIS-MONTSOURIS;0.0;0.0;2.2;2024-09-02 07:00:00
27;4264;AV_Champs_Elysees;2024-09-02 08:00:00;125.0;0.46778;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5888;PARIS-MONTSOURIS;0.0;0.0;2.8;2024-09-02 08:00:00
28;4264;AV_Champs_Elysees;2024-09-02 09:00:00;86.0;1.17611;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5889;PARIS-MONTSOURIS;0.0;0.0;3.3;2024-09-02 09:00:00
29;4264;AV_Champs_Elysees;2024-09-02 10:00:00;120.0;4.21944;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5890;PARIS-MONTSOURIS;0.0;0.0;3.3;2024-09-02 10:00:00
30;4264;AV_Champs_Elysees;2024-09-02 11:00:00;104.0;13.08556;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5891;PARIS-MONTSOURIS;0.0;0.0;3.4;2024-09-02 11:00:00
31;4264;AV_Champs_Elysees;2024-09-02 12:00:00;93.0;2.10556;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5892;PARIS-MONTSOURIS;0.0;0.0;3.4;2024-09-02 12:00:00
32;4264;AV_Champs_Elysees;2024-09-02 13:00:00;141.0;15.56778;Pré-saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5893;PARIS-MONTSOURIS;0.0;0.0;3.2;2024-09-02 13:00:00
33;4264;AV_Champs_Elysees;2024-09-02 14:00:00;114.0;3.15389;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5894;PARIS-MONTSOURIS;0.0;0.0;3.1;2024-09-02 14:00:00
34;4264;AV_Champs_Elysees;2024-09-02 15:00:00;117.0;6.70778;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5895;PARIS-MONTSOURIS;0.0;0.0;3.6;2024-09-02 15:00:00
35;4264;AV_Champs_Elysees;2024-09-02 16:00:00;144.0;5.28334;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5896;PARIS-MONTSOURIS;0.0;0.0;3.8;2024-09-02 16:00:00
36;4264;AV_Champs_Elysees;2024-09-02 17:00:00;297.0;9.33611;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5897;PARIS-MONTSOURIS;0.0;0.0;3.1;2024-09-02 17:00:00
37;4264;AV_Champs_Elysees;2024-09-02 18:00:00;671.0;12.855;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5898;PARIS-MONTSOURIS;0.0;0.0;2.5;2024-09-02 18:00:00
38;4264;AV_Champs_Elysees;2024-09-02 19:00:00;639.0;14.3;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5899;PARIS-MONTSOURIS;0.0;0.0;1.6;2024-09-02 19:00:00
39;4264;AV_Champs_Elysees;2024-09-02 20:00:00;657.0;13.98722;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5900;PARIS-MONTSOURIS;0.0;0.0;1.5;2024-09-02 20:00:00
40;4264;AV_Champs_Elysees;2024-09-02 21:00:00;626.0;14.93556;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5901;PARIS-MONTSOURIS;0.0;0.0;1.7;2024-09-02 21:00:00
41;4264;AV_Champs_Elysees;2024-09-02 22:00:00;680.0;11.94722;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5902;PARIS-MONTSOURIS;0.0;0.0;1.9;2024-09-02 22:00:00
42;4264;AV_Champs_Elysees;2024-09-02 23:00:00;533.0;8.74056;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5903;PARIS-MONTSOURIS;0.0;0.0;2.7;2024-09-02 23:00:00
43;4264;AV_Champs_Elysees;2024-09-03 00:00:00;504.0;8.93389;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5904;PARIS-MONTSOURIS;0.0;0.0;2.1;2024-09-03 00:00:00
44;4264;AV_Champs_Elysees;2024-09-03 01:00:00;463.0;6.50278;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5905;PARIS-MONTSOURIS;0.0;0.0;1.6;2024-09-03 01:00:00
45;4264;AV_Champs_Elysees;2024-09-03 02:00:00;310.0;3.88111;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5906;PARIS-MONTSOURIS;0.0;16.0;1.4;2024-09-03 02:00:00
46;4264;AV_Champs_Elysees;2024-09-03 03:00:00;283.0;4.21167;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5907;PARIS-MONTSOURIS;0.0;0.0;1.4;2024-09-03 03:00:00
47;4264;AV_Champs_Elysees;2024-09-03 04:00:00;226.0;3.07889;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5908;PARIS-MONTSOURIS;0.0;0.0;1.7;2024-09-03 04:00:00
48;4264;AV_Champs_Elysees;2024-09-03 05:00:00;181.0;2.11111;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5909;PARIS-MONTSOURIS;0.0;19.0;1.9;2024-09-03 05:00:00
49;4264;AV_Champs_Elysees;2024-09-03 06:00:00;208.0;2.44389;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5910;PARIS-MONTSOURIS;0.0;4.0;2.3;2024-09-03 06:00:00
50;4264;AV_Champs_Elysees;2024-09-03 07:00:00;324.0;3.44778;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5911;PARIS-MONTSOURIS;0.0;23.0;1.9;2024-09-03 07:00:00
51;4264;AV_Champs_Elysees;2024-09-03 08:00:00;462.0;5.01778;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5912;PARIS-MONTSOURIS;0.2;44.0;2.4;2024-09-03 08:00:00
52;4264;AV_Champs_Elysees;2024-09-03 09:00:00;619.0;6.42667;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5913;PARIS-MONTSOURIS;0.2;51.0;3.2;2024-09-03 09:00:00
53;4264;AV_Champs_Elysees;2024-09-03 10:00:00;723.0;7.66667;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5914;PARIS-MONTSOURIS;0.0;0.0;3.6;2024-09-03 10:00:00
54;4264;AV_Champs_Elysees;2024-09-03 11:00:00;311.0;0.05556;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5915;PARIS-MONTSOURIS;0.0;0.0;1.9;2024-09-03 11:00:00
55;4264;AV_Champs_Elysees;2024-09-03 12:00:00;335.0;5.23778;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5916;PARIS-MONTSOURIS;0.0;0.0;3.0;2024-09-03 12:00:00
56;4264;AV_Champs_Elysees;2024-09-03 13:00:00;361.0;0.14778;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5917;PARIS-MONTSOURIS;0.0;0.0;3.8;2024-09-03 13:00:00
57;4264;AV_Champs_Elysees;2024-09-03 14:00:00;353.0;3.92167;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5918;PARIS-MONTSOURIS;0.0;0.0;3.3;2024-09-03 14:00:00
58;4264;AV_Champs_Elysees;2024-09-03 15:00:00;387.0;0.01333;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5919;PARIS-MONTSOURIS;0.0;0.0;3.5;2024-09-03 15:00:00
59;4264;AV_Champs_Elysees;2024-09-03 16:00:00;421.0;4.97278;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5920;PARIS-MONTSOURIS;0.0;0.0;2.9;2024-09-03 16:00:00
