Modèle,RMSE Test,RMSE Train,Écart %,MAE,R²,Params
XGBoost,86.0202070325155,1.099682876182885,98.72159936122078,61.33894487347519,0.8880959882651165,"{'n_estimators': 1200, 'max_depth': 7, 'learning_rate': 0.07, 'subsample': 0.8, 'colsample_bytree': 0.6, 'min_child_weight': 3, 'gamma': 0.5, 'reg_alpha': 0.3, 'reg_lambda': 2.5}"
XGBoost,85.82160621736809,14.881451486496271,82.66001751493128,61.09458601031387,0.8886121128690149,"{'n_estimators': 1000, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'min_child_weight': 7, 'gamma': 0.2, 'reg_alpha': 0.3, 'reg_lambda': 1.5}"
XGBoost,86.11592861872508,24.296821467260802,71.78591480464198,60.76739032946135,0.8878468005516476,"{'n_estimators': 1000, 'max_depth': 6, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 7, 'gamma': 0.2, 'reg_alpha': 0.5, 'reg_lambda': 2.0}"
XGBoost,86.34370234637875,4.5961008479482,94.67697038342142,61.043337231017,0.8872527330828484,"{'n_estimators': 700, 'max_depth': 8, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.5, 'min_child_weight': 3, 'gamma': 0.5, 'reg_alpha': 0.7, 'reg_lambda': 1.5}"
XGBoost,88.21304720062324,2.796077226598851,96.83031329794137,63.08969398364686,0.8823179193765733,"{'n_estimators': 1000, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'min_child_weight': 3, 'gamma': 0.5, 'reg_alpha': 0.3, 'reg_lambda': 1.5}"
XGBoost,86.18261987346592,21.81789830518552,74.68410877132912,61.193210229706345,0.8876730223908857,"{'n_estimators': 1200, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.5, 'min_child_weight': 5, 'gamma': 0.5, 'reg_alpha': 0.7, 'reg_lambda': 2.5}"
XGBoost,85.69268945992053,24.45391598184367,71.46324133836288,61.114985865542764,0.8889465037203101,"{'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.07, 'subsample': 0.6, 'colsample_bytree': 0.6, 'min_child_weight': 3, 'gamma': 0.3, 'reg_alpha': 0.7, 'reg_lambda': 1.5}"
XGBoost,84.75646621212968,37.26095786605351,56.037622223658715,59.979056915818596,0.8913598462398291,"{'n_estimators': 1000, 'max_depth': 5, 'learning_rate': 0.03, 'subsample': 0.7, 'colsample_bytree': 0.5, 'min_child_weight': 7, 'gamma': 0.5, 'reg_alpha': 0.7, 'reg_lambda': 2.5}"
XGBoost,87.89520274059348,3.7653401185633997,95.71610281203161,61.91663236919202,0.8831644429113353,"{'n_estimators': 700, 'max_depth': 7, 'learning_rate': 0.1, 'subsample': 0.6, 'colsample_bytree': 0.5, 'min_child_weight': 5, 'gamma': 0.5, 'reg_alpha': 0.3, 'reg_lambda': 3.0}"
XGBoost,87.37277508539958,0.7326226619204009,99.1614977763905,61.909779390033925,0.8845491994478839,"{'n_estimators': 1000, 'max_depth': 8, 'learning_rate': 0.07, 'subsample': 0.7, 'colsample_bytree': 0.7, 'min_child_weight': 5, 'gamma': 0.5, 'reg_alpha': 0.5, 'reg_lambda': 2.5}"
XGBoost,87.38422499720497,8.221415119066693,90.59164841328094,61.43307497258772,0.8845189385777606,"{'n_estimators': 500, 'max_depth': 7, 'learning_rate': 0.1, 'subsample': 0.7, 'colsample_bytree': 0.6, 'min_child_weight': 7, 'gamma': 0.3, 'reg_alpha': 0.3, 'reg_lambda': 2.0}"
XGBoost,85.43493432918592,41.581960445444494,51.32908947383665,60.569817874306125,0.8896135748237453,"{'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.03, 'subsample': 0.7, 'colsample_bytree': 0.6, 'min_child_weight': 3, 'gamma': 0.3, 'reg_alpha': 0.5, 'reg_lambda': 2.5}"
XGBoost,87.20920814435632,4.007842324237871,95.40433583847737,62.07056557103207,0.88498105612989,"{'n_estimators': 1000, 'max_depth': 8, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.6, 'min_child_weight': 7, 'gamma': 0.5, 'reg_alpha': 0.5, 'reg_lambda': 2.5}"
XGBoost,86.03279224072341,37.820962571561424,56.03889913774185,60.90920430501302,0.8880632415801457,"{'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.03, 'subsample': 0.7, 'colsample_bytree': 0.7, 'min_child_weight': 5, 'gamma': 0.2, 'reg_alpha': 0.3, 'reg_lambda': 1.5}"
