date_heure_comptage;debit_horaire;taux_occupation;etat_trafic;etat_arc;est_vacances;est_ferie;precipitation;duree_precipitation_min;vitesse_vent_ms
2025-05-01 21:00:00;792.0;23.25333;Pré-saturé;Ouvert;0;1;0.0;0.0;0.8
2025-05-01 22:00:00;907.0;21.245;Pré-saturé;Ouvert;0;1;0.0;0.0;1.6
2025-09-03 11:00:00;1249.0;76.03556;Bloqué;Ouvert;0;0;0.0;0.0;5.6
2025-09-03 10:00:00;1190.0;55.82833;Bloqué;Ouvert;0;0;0.0;0.0;5.5
2025-03-07 21:00:00;891.0;13.84611;Fluide;Ouvert;0;0;0.0;0.0;2.3
2025-03-07 20:00:00;1122.0;17.08889;Pré-saturé;Ouvert;0;0;0.0;0.0;2.8
2025-03-07 18:00:00;981.0;20.52833;Pré-saturé;Ouvert;0;0;0.0;0.0;3.3
2025-03-07 16:00:00;1131.0;21.94167;Pré-saturé;Ouvert;0;0;0.0;0.0;3.4
2025-03-07 15:00:00;993.0;19.07111;Pré-saturé;Ouvert;0;0;0.0;0.0;3.4
2024-11-04 00:00:00;;;Inconnu;Invalide;1;0;0.0;0.0;0.7
2024-11-03 23:00:00;;;Inconnu;Invalide;1;0;0.0;0.0;1.2
2024-11-03 22:00:00;;;Inconnu;Invalide;1;0;0.0;0.0;2.6
2024-11-03 21:00:00;;;Inconnu;Invalide;1;0;0.0;0.0;1.4
2024-11-03 20:00:00;;;Inconnu;Invalide;1;0;0.0;0.0;1.1
2024-11-03 18:00:00;;;Inconnu;Invalide;1;0;0.0;0.0;1.9
2024-11-03 17:00:00;;;Inconnu;Invalide;1;0;0.0;0.0;1.4
2024-11-03 14:00:00;;;Inconnu;Invalide;1;0;0.0;0.0;2.2
2024-11-03 13:00:00;;;Inconnu;Invalide;1;0;0.0;0.0;2.6
2024-11-03 09:00:00;;;Inconnu;Invalide;1;0;0.0;0.0;3.9
2024-11-03 07:00:00;;;Inconnu;Invalide;1;0;0.0;0.0;2.8
2024-11-03 05:00:00;;;Inconnu;Invalide;1;0;0.0;0.0;3.3
